model,Label,Accuracy,F1-score,AUC
cmrclip,Left ventricle dysfunction,0.7054263565891473,0.6481481481481481,0.7678132678132679
cmrclip,Right ventricle dysfunction,0.6976744186046512,0.4507042253521127,0.7923823749066468
cmrclip,Left ventricle dilation,0.6821705426356589,0.4675324675324676,0.8353846153846154
cmrclip,Right ventricle dilation,0.7131782945736435,0.32727272727272727,0.7281167108753316
cmrclip,Left ventricle hypertrophy,0.813953488372093,0.7000000000000001,0.8785438144329897
cmrclip,LGE,0.5426356589147286,0.45871559633027525,0.6208994708994708
cmrclip,Aortic dilation,0.5736434108527132,0.1791044776119403,0.48575498575498577
