model,Label,Accuracy,F1-score,AUC
cmrclip,DCM,0.95,0.9,0.9247648902821316
cmrclip,HCM,0.95,0.888888888888889,0.9933333333333334
cmrclip,MINF,0.925,0.6666666666666666,0.9901960784313726
cmrclip,NOR,0.95,0.8333333333333333,0.9913419913419914
cmrclip,RV,0.95,0.8571428571428571,0.9901960784313726
