Accuracy,F1-score,AUC,model,shot,Label
0.6293798449612403,0.5331435260292947,0.6645700245700246,cmrclip,1,Left ventricle dysfunction
0.6729457364341084,0.6038624171184724,0.7371744471744472,cmrclip,2,Left ventricle dysfunction
0.7248837209302325,0.6754955816655359,0.7924987714987717,cmrclip,4,Left ventricle dysfunction
0.7648062015503875,0.7197086797951125,0.838206388206388,cmrclip,8,Left ventricle dysfunction
0.7831007751937983,0.7379371074347941,0.8564103194103193,cmrclip,16,Left ventricle dysfunction
0.7881395348837208,0.7463428122294551,0.8684029484029483,cmrclip,32,Left ventricle dysfunction
0.5444186046511628,0.34970751164927527,0.6095444361463779,cmrclip,1,Right ventricle dysfunction
0.6024031007751939,0.3663166531530491,0.640321135175504,cmrclip,2,Right ventricle dysfunction
0.6391472868217055,0.41454166032803924,0.6892233009708739,cmrclip,4,Right ventricle dysfunction
0.6860465116279072,0.43506941669571025,0.7198693054518296,cmrclip,8,Right ventricle dysfunction
0.6906201550387598,0.45737700358247596,0.7462023898431666,cmrclip,16,Right ventricle dysfunction
0.7132558139534885,0.47739044959214433,0.7610119492158327,cmrclip,32,Right ventricle dysfunction
0.5948062015503877,0.40502110767725524,0.6684038461538464,cmrclip,1,Left ventricle dilation
0.6268217054263566,0.42170309643613557,0.7218615384615386,cmrclip,2,Left ventricle dilation
0.6827906976744187,0.46979805907026717,0.7766346153846153,cmrclip,4,Left ventricle dilation
0.7372868217054263,0.5430144066238377,0.8431461538461538,cmrclip,8,Left ventricle dilation
0.7623255813953489,0.5805418754343289,0.8758134615384615,cmrclip,16,Left ventricle dilation
0.7735658914728681,0.5985708757046481,0.8971769230769229,cmrclip,32,Left ventricle dilation
0.5049612403100776,0.22353000920159752,0.6175397877984085,cmrclip,1,Right ventricle dilation
0.6227131782945736,0.23075832734713575,0.6434350132625996,cmrclip,2,Right ventricle dilation
0.6993798449612403,0.2538158310536341,0.6605106100795756,cmrclip,4,Right ventricle dilation
0.7457364341085271,0.26555464670444723,0.6943368700265252,cmrclip,8,Right ventricle dilation
0.7810077519379844,0.27268508155929366,0.7262665782493372,cmrclip,16,Right ventricle dilation
0.8007751937984494,0.26152030506861623,0.7410809018567638,cmrclip,32,Right ventricle dilation
0.6789922480620153,0.5192855366770912,0.746994201030928,cmrclip,1,Left ventricle hypertrophy
0.7306201550387594,0.5732019029185187,0.80597293814433,cmrclip,2,Left ventricle hypertrophy
0.7932558139534882,0.6491459277736175,0.8558537371134021,cmrclip,4,Left ventricle hypertrophy
0.820232558139535,0.6887805890435093,0.877090850515464,cmrclip,8,Left ventricle hypertrophy
0.8411627906976744,0.7114177536703763,0.8907538659793817,cmrclip,16,Left ventricle hypertrophy
0.845891472868217,0.7128143647746739,0.897818943298969,cmrclip,32,Left ventricle hypertrophy
0.5872868217054265,0.4683163372772185,0.6006481481481482,cmrclip,1,LGE
0.5811627906976744,0.4630843271307466,0.6126719576719577,cmrclip,2,LGE
0.6272093023255815,0.5330507418155751,0.6744801587301587,cmrclip,4,LGE
0.6606201550387597,0.5739710603632923,0.7134206349206349,cmrclip,8,LGE
0.6874418604651165,0.5928522787609364,0.7382751322751322,cmrclip,16,LGE
0.6989147286821705,0.6026399923305352,0.7595264550264551,cmrclip,32,LGE
0.4562015503875969,0.16908317551823387,0.5078561253561253,cmrclip,1,Aortic dilation
0.49240310077519384,0.1707141863330466,0.5300071225071225,cmrclip,2,Aortic dilation
0.5195348837209302,0.16565636944314632,0.5240242165242166,cmrclip,4,Aortic dilation
0.5376744186046513,0.1725198984287906,0.5509472934472934,cmrclip,8,Aortic dilation
0.5647286821705427,0.17675062457857776,0.5557122507122506,cmrclip,16,Aortic dilation
0.5794573643410854,0.16856242283651818,0.5612962962962964,cmrclip,32,Aortic dilation
