model,Label,Accuracy,F1-score,AUC
cmrclip,nicm,0.8831615120274914,0.8934169278996865,0.9290352227832086
cmrclip,icm,0.8934707903780069,0.7539682539682541,0.9171099511144254
cmrclip,amyl,0.9690721649484536,0.7352941176470588,0.9674931812546491
cmrclip,hcm,0.993127147766323,0.9775280898876404,0.9988376598217745
